販売名,成分名,規格,判定,判定根拠,レビュー理由
小児用ヌーカラ皮下注４０ｍｇシリンジ,メポリズマブ（遺伝子組換え）,４０ｍｇ０．４ｍＬ１筒,○,告示第十第一号 [メポリズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
ファセンラ皮下注３０ｍｇシリンジ,ベンラリズマブ（遺伝子組換え）,３０ｍｇ１ｍＬ１筒,○,告示第十第一号 [ベンラリズマブ製剤] マッチ規則:substring ※条件付:四週間を超える間隔で投与する場合を除く。,自動substring一致（要確認）
ファセンラ皮下注１０ｍｇシリンジ,ベンラリズマブ（遺伝子組換え）,１０ｍｇ０．５ｍＬ１筒,○,告示第十第一号 [ベンラリズマブ製剤] マッチ規則:substring ※条件付:四週間を超える間隔で投与する場合を除く。,自動substring一致（要確認）
ファセンラ皮下注３０ｍｇペン,ベンラリズマブ（遺伝子組換え）,３０ｍｇ１ｍＬ１キット,○,告示第十第一号 [ベンラリズマブ製剤] マッチ規則:substring ※条件付:四週間を超える間隔で投与する場合を除く。,自動substring一致（要確認）
テゼスパイア皮下注２１０ｍｇシリンジ,テゼペルマブ（遺伝子組換え）,２１０ｍｇ１．９１ｍＬ１筒,○,告示第十第一号 [テゼペルマブ製剤] マッチ規則:substring,自動substring一致（要確認）
テゼスパイア皮下注２１０ｍｇペン,テゼペルマブ（遺伝子組換え）,２１０ｍｇ１．９１ｍＬ１キット,○,告示第十第一号 [テゼペルマブ製剤] マッチ規則:substring,自動substring一致（要確認）
エキシデンサー皮下注１００ｍｇシリンジ,デペモキマブ（遺伝子組換え）,１００ｍｇ１ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エキシデンサー皮下注１００ｍｇペン,デペモキマブ（遺伝子組換え）,１００ｍｇ１ｍＬ１キット,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ベルベリン硫酸塩注２ｍｇ「日新」,ベルベリン硫酸塩水和物,０．１％２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
タガメット注射液２００ｍｇ,シメチジン,１０％２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
シメチジン注２００ｍｇ「ＮＰ」,シメチジン,１０％２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
シメチジン注射液２００ｍｇ「ＳＷ」,シメチジン,１０％２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ガスター注射液１０ｍｇ,ファモチジン,１０ｍｇ１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ファモチジン注射液１０ｍｇ「トーワ」,ファモチジン,１０ｍｇ１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ガスター注射液２０ｍｇ,ファモチジン,２０ｍｇ２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ファモチジン注射液２０ｍｇ「トーワ」,ファモチジン,２０ｍｇ２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ファモチジン２０ｍｇ２０ｍＬ注射液,ファモチジン,２０ｍｇ２０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
