販売名,成分名,規格,判定,判定根拠,レビュー理由
ファモチジン１０ｍｇ１０ｍＬ注射液,ファモチジン,１０ｍｇ１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ファモチジン２０ｍｇ注射用,ファモチジン,２０ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ファモチジン注射用２０ｍｇ「タカタ」,ファモチジン,２０ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ファモチジン注射用１０ｍｇ「タカタ」,ファモチジン,１０ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ファモチジン注射用１０ｍｇ「オーハラ」,ファモチジン,１０ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ファモチジン注射用１０ｍｇ「テバ」,ファモチジン,１０ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アルタット静注用７５ｍｇ,ロキサチジン酢酸エステル塩酸塩,７５ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ドグマチール筋注５０ｍｇ,スルピリド,５０ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オメプラゾールナトリウム２０ｍｇ注射用,オメプラゾールナトリウム,２０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オメプラゾール注用２０ｍｇ「ＮＰ」,オメプラゾールナトリウム,２０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オメプラゾール注射用２０ｍｇ「日医工」,オメプラゾールナトリウム,２０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
