販売名,成分名,規格,YJコード,メーカー,先発後発,局方,薬価,院外処方可否,判定根拠,廃止経過措置,廃止区分,備考
チオ硫酸ナトリウム注射液,チオ硫酸ナトリウム水和物,１０％２０ｍＬ１管,3925400A1015,,,局,434,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
チオ硫酸ナトリウム注射液,チオ硫酸ナトリウム水和物,１０％２０ｍＬ１瓶,3925400A2011,,,局,406,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
炭酸水素ナトリウム注射液,炭酸水素ナトリウム,７％２０ｍＬ１管,3929400A3017,,,局,100,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
炭酸水素Ｎａ静注７％ＰＬ「フソー」,炭酸水素ナトリウム,７％２０ｍＬ１管,3929400A3220,扶桑薬品工業,,局,104,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
メイロン静注７％,炭酸水素ナトリウム,７％２０ｍＬ１管,3929400A3238,大塚製薬工場,,局,104,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
重ソー静注７％「ＮＳ」,炭酸水素ナトリウム,７％２０ｍＬ１管,3929400A3246,日新製薬（山形）,,局,104,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
炭酸水素ナトリウム静注７％「ＮＰ」,炭酸水素ナトリウム,７％２０ｍＬ１管,3929400A3254,ニプロ,,局,104,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,R9.3.31まで,経過措置,
炭酸水素ナトリウム静注７％ＰＬ「イセイ」,炭酸水素ナトリウム,７％２０ｍＬ１管,3929400A3262,コーアイセイ,,局,104,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
炭酸水素ナトリウム注射液,炭酸水素ナトリウム,８．４％２０ｍＬ１管,3929400A7012,,,局,104,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
メイロン静注８．４％,炭酸水素ナトリウム,８．４％２０ｍＬ１管,3929400A7063,大塚製薬工場,,局,138,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
炭酸水素ナトリウム注射液,炭酸水素ナトリウム,１．２６％１Ｌ１袋,3929400H1012,,,局,463,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
炭酸水素ナトリウム注射液,炭酸水素ナトリウム,７％２５０ｍＬ１袋,3929400H2019,,,局,345,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
炭酸水素ナトリウム注射液,炭酸水素ナトリウム,８．４％２５０ｍＬ１袋,3929400H3015,,,局,346,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
パム静注５００ｍｇ,プラリドキシムヨウ化物,２．５％２０ｍＬ１管,3929401A1035,住友ファーマ,,,1869,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
デスフェラール注射用５００ｍｇ,デフェロキサミンメシル酸塩,５００ｍｇ１瓶,3929402D1036,ノバルティス　ファーマ,先発品,,1049,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ロイコボリン注３ｍｇ,ホリナートカルシウム,０．３％１ｍＬ１管,3929403A1034,ファイザー,,,256,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ウロミテキサン注１００ｍｇ,メスナ,１００ｍｇ１ｍＬ１管,3929406A1020,塩野義製薬,先発品,,274,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ウロミテキサン注４００ｍｇ,メスナ,４００ｍｇ４ｍＬ１管,3929406A2026,塩野義製薬,先発品,,606,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レボホリナート点滴静注用２５ｍｇ「ＨＫ」,レボホリナートカルシウム,２５ｍｇ１瓶,3929407D1055,光製薬,,,456,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,R9.3.31まで,経過措置,
レボホリナート点滴静注用２５ｍｇ「ＮＫ」,レボホリナートカルシウム,２５ｍｇ１瓶,3929407D1063,高田製薬,,,446,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レボホリナート点滴静注用２５ｍｇ「ＮＰ」,レボホリナートカルシウム,２５ｍｇ１瓶,3929407D1071,ニプロ,,,403,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レボホリナート点滴静注用２５「オーハラ」,レボホリナートカルシウム,２５ｍｇ１瓶,3929407D1080,大原薬品工業,,,449,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レボホリナート点滴静注用２５ｍｇ「サワイ」,レボホリナートカルシウム,２５ｍｇ１瓶,3929407D1098,沢井製薬,,,450,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レボホリナート点滴静注用２５ｍｇ「トーワ」,レボホリナートカルシウム,２５ｍｇ１瓶,3929407D1110,東和薬品,,,412,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レボホリナート点滴静注用２５ｍｇ「ヤクルト」,レボホリナートカルシウム,２５ｍｇ１瓶,3929407D1136,高田ヘルスケアソリューションズ,,,414,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
アイソボリン点滴静注用２５ｍｇ,レボホリナートカルシウム,２５ｍｇ１瓶,3929407D1160,ファイザー,先発品,,394,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レボホリナート点滴静注用１００ｍｇ「ＮＫ」,レボホリナートカルシウム,１００ｍｇ１瓶,3929407D2035,高田製薬,,,1442,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レボホリナート点滴静注用１００「オーハラ」,レボホリナートカルシウム,１００ｍｇ１瓶,3929407D2043,大原薬品工業,,,1444,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レボホリナート点滴静注用１００ｍｇ「トーワ」,レボホリナートカルシウム,１００ｍｇ１瓶,3929407D2051,東和薬品,,,1401,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レボホリナート点滴静注用１００ｍｇ「ヤクルト」,レボホリナートカルシウム,１００ｍｇ１瓶,3929407D2060,高田ヘルスケアソリューションズ,,,1399,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レボホリナート点滴静注用１００ｍｇ「ＨＫ」,レボホリナートカルシウム,１００ｍｇ１瓶,3929407D2078,光製薬,,,1470,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,R9.3.31まで,経過措置,
レボホリナート点滴静注用１００ｍｇ「ＮＰ」,レボホリナートカルシウム,１００ｍｇ１瓶,3929407D2086,ニプロ,,,1408,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レボホリナート点滴静注用１００ｍｇ「サワイ」,レボホリナートカルシウム,１００ｍｇ１瓶,3929407D2094,沢井製薬,,,1426,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
アイソボリン点滴静注用１００ｍｇ,レボホリナートカルシウム,１００ｍｇ１瓶,3929407D2108,ファイザー,先発品,,1296,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
シアノキット注射用５ｇセット,ヒドロキソコバラミン,５ｇ１瓶（溶解液付）,3929408D2021,メルクバイオファーマ,先発品,,87992,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ブリディオン静注２００ｍｇ,スガマデクスナトリウム,２００ｍｇ２ｍＬ１瓶,3929409A1023,ＭＳＤ,先発品,,5578,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スガマデクス静注液２００ｍｇ「Ｆ」,スガマデクスナトリウム,２００ｍｇ２ｍＬ１瓶,3929409A1031,富士製薬工業,,,2470,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スガマデクス静注液２００ｍｇ「ＶＴＲＳ」,スガマデクスナトリウム,２００ｍｇ２ｍＬ１瓶,3929409A1040,ヴィアトリス・ヘルスケア,,,2305,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スガマデクス静注液２００ｍｇ「サンド」,スガマデクスナトリウム,２００ｍｇ２ｍＬ１瓶,3929409A1058,サンド,,,2478,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スガマデクス静注液２００ｍｇ「ニプロ」,スガマデクスナトリウム,２００ｍｇ２ｍＬ１瓶,3929409A1066,ニプロ,,,2738,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スガマデクス静注液２００ｍｇ「バクスター」,スガマデクスナトリウム,２００ｍｇ２ｍＬ１瓶,3929409A1074,バクスター・ジャパン,,,2146,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スガマデクス静注液２００ｍｇ「マルイシ」,スガマデクスナトリウム,２００ｍｇ２ｍＬ１瓶,3929409A1082,丸石製薬,,,2661,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スガマデクス静注液２００ｍｇ「トーワ」,スガマデクスナトリウム,２００ｍｇ２ｍＬ１瓶,3929409A1090,東和薬品,,,2862,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ブリディオン静注５００ｍｇ,スガマデクスナトリウム,５００ｍｇ５ｍＬ１瓶,3929409A2020,ＭＳＤ,先発品,,15603,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スガマデクス静注液５００ｍｇ「Ｆ」,スガマデクスナトリウム,５００ｍｇ５ｍＬ１瓶,3929409A2038,富士製薬工業,,,6177,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スガマデクス静注液５００ｍｇ「ＶＴＲＳ」,スガマデクスナトリウム,５００ｍｇ５ｍＬ１瓶,3929409A2046,ヴィアトリス・ヘルスケア,,,6177,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スガマデクス静注液５００ｍｇ「サンド」,スガマデクスナトリウム,５００ｍｇ５ｍＬ１瓶,3929409A2054,サンド,,,6177,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スガマデクス静注液５００ｍｇ「ニプロ」,スガマデクスナトリウム,５００ｍｇ５ｍＬ１瓶,3929409A2062,ニプロ,,,6914,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スガマデクス静注液５００ｍｇ「バクスター」,スガマデクスナトリウム,５００ｍｇ５ｍＬ１瓶,3929409A2070,バクスター・ジャパン,,,6177,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スガマデクス静注液５００ｍｇ「マルイシ」,スガマデクスナトリウム,５００ｍｇ５ｍＬ１瓶,3929409A2089,丸石製薬,,,6733,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スガマデクス静注液５００ｍｇ「トーワ」,スガマデクスナトリウム,５００ｍｇ５ｍＬ１瓶,3929409A2097,東和薬品,,,6699,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スガマデクス静注液２００ｍｇシリンジ「Ｆ」,スガマデクスナトリウム,２００ｍｇ２ｍＬ１筒,3929409G1026,富士製薬工業,,,2589,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スガマデクス静注液２００ｍｇシリンジ「ニプロ」,スガマデクスナトリウム,２００ｍｇ２ｍＬ１筒,3929409G1034,ニプロ,,,2652,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スガマデクス静注液２００ｍｇシリンジ「マルイシ」,スガマデクスナトリウム,２００ｍｇ２ｍＬ１筒,3929409G1042,丸石製薬,,,2701,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
サビーン点滴静注用５００ｍｇ,デクスラゾキサン,５００ｍｇ１瓶,3929410D1022,キッセイ薬品工業,先発品,,46437,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ホメピゾール点滴静注１．５ｇ「タケダ」,ホメピゾール,１．５ｇ１瓶,3929411A1020,武田薬品工業,先発品,,140398,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
メチレンブルー静注５０ｍｇ「第一三共」,メチルチオニニウム塩化物水和物,５０ｍｇ１０ｍＬ１管,3929412A1025,第一三共,先発品,,122611,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
メグルダーゼ静注用１０００,グルカルピダーゼ（遺伝子組換え）,１，０００単位１瓶,3929413F1027,大原薬品工業,先発品,,2674400,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ウロナーゼ静注用６万単位,ウロキナーゼ,６０，０００単位１瓶,3954400D4080,持田製薬,先発品,,9400,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ウロナーゼ冠動注用１２万単位,ウロキナーゼ,１２０，０００単位１瓶,3954400D5043,持田製薬,先発品,,7810,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
デフィブラーゼ点滴静注液１０単位,バトロキソビン,１０単位１管,3959400A1030,東菱薬品工業,先発品,,6631,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
アクチバシン注６００万,アルテプラーゼ（遺伝子組換え）,６００万国際単位１瓶（溶解液付）,3959402D1027,協和キリン,先発品,,30214,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
グルトパ注６００万,アルテプラーゼ（遺伝子組換え）,６００万国際単位１瓶（溶解液付）,3959402D1035,田辺ファーマ,先発品,,31900,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
アクチバシン注１２００万,アルテプラーゼ（遺伝子組換え）,１，２００万国際単位１瓶（溶解液付）,3959402D2023,協和キリン,先発品,,67269,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
グルトパ注１２００万,アルテプラーゼ（遺伝子組換え）,１，２００万国際単位１瓶（溶解液付）,3959402D2031,田辺ファーマ,先発品,,62547,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
アクチバシン注２４００万,アルテプラーゼ（遺伝子組換え）,２，４００万国際単位１瓶（溶解液付）,3959402D3020,協和キリン,先発品,,135032,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
グルトパ注２４００万,アルテプラーゼ（遺伝子組換え）,２，４００万国際単位１瓶（溶解液付）,3959402D3038,田辺ファーマ,先発品,,129067,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
セレザイム静注用４００単位,イミグルセラーゼ（遺伝子組換え）,４００単位１瓶,3959406D2021,サノフィ,先発品,,256941,○,告示第十第一号 [イミグルセラーゼ製剤] マッチ規則:substring,,,
クリアクター静注用４０万,モンテプラーゼ（遺伝子組換え）,４０万国際単位１瓶,3959407D1038,エーザイ,先発品,,35200,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
クリアクター静注用８０万,モンテプラーゼ（遺伝子組換え）,８０万国際単位１瓶,3959407D2034,エーザイ,先発品,,58147,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ファブラザイム点滴静注用５ｍｇ,アガルシダーゼベータ（遺伝子組換え）,５ｍｇ１瓶,3959409D1029,サノフィ,先発品,,95674,○,告示第十第一号 [アガルシダーゼ　ベータ製剤] マッチ規則:substring,,,
ファブラザイム点滴静注用３５ｍｇ,アガルシダーゼベータ（遺伝子組換え）,３５ｍｇ１瓶,3959409D2025,サノフィ,先発品,,528502,○,告示第十第一号 [アガルシダーゼ　ベータ製剤] マッチ規則:substring,,,
リプレガル点滴静注用３．５ｍｇ,アガルシダーゼアルファ（遺伝子組換え）,３．５ｍｇ３．５ｍＬ１瓶,3959410A1025,武田薬品工業,先発品,,255011,○,告示第十第一号 [アガルシダーゼ　アルファ製剤] マッチ規則:substring,,,
アウドラザイム点滴静注液２．９ｍｇ,ラロニダーゼ（遺伝子組換え）,２．９ｍｇ５ｍＬ１瓶,3959411A1020,サノフィ,先発品,,94040,○,告示第十第一号 [ラロニダーゼ製剤] マッチ規則:substring,,,
マイオザイム点滴静注用５０ｍｇ,アルグルコシダーゼアルファ（遺伝子組換え）,５０ｍｇ１瓶,3959412F1021,サノフィ,先発品,,62766,○,告示第十第一号 [アルグルコシダーゼ　アルファ製剤] マッチ規則:substring,,,
エラプレース点滴静注液６ｍｇ,イデュルスルファーゼ（遺伝子組換え）,６ｍｇ３ｍＬ１瓶,3959413A1029,サノフィ,先発品,,277520,○,告示第十第一号 [イデュルスルファーゼ製剤] マッチ規則:substring,,,
ナグラザイム点滴静注液５ｍｇ,ガルスルファーゼ（遺伝子組換え）,５ｍｇ５ｍＬ１瓶,3959414A1023,ＢｉｏＭａｒｉｎ　Ｐｈａｒｍａｃｅｕｔｉｃａｌ　Ｊａｐａｎ,先発品,,268320,○,告示第十第一号 [ガルスルファーゼ製剤] マッチ規則:substring,,,
ラスリテック点滴静注用１．５ｍｇ,ラスブリカーゼ（遺伝子組換え）,１．５ｍｇ１瓶（溶解液付）,3959415F1025,サノフィ,先発品,,6775,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ラスリテック点滴静注用７．５ｍｇ,ラスブリカーゼ（遺伝子組換え）,７．５ｍｇ１瓶（溶解液付）,3959415F2021,サノフィ,先発品,,27659,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ビプリブ点滴静注用４００単位,ベラグルセラーゼ　アルファ（遺伝子組換え）,４００単位１瓶,3959416F1020,武田薬品工業,先発品,,305550,○,告示第十第一号 [ベラグルセラーゼ　アルファ製剤] マッチ規則:substring,,,
ビミジム点滴静注液５ｍｇ,エロスルファーゼ　アルファ（遺伝子組換え）,５ｍｇ５ｍＬ１瓶,3959417A1027,ＢｉｏＭａｒｉｎ　Ｐｈａｒｍａｃｅｕｔｉｃａｌ　Ｊａｐａｎ,先発品,,132314,○,告示第十第一号 [エロスルファーゼ　アルファ製剤] マッチ規則:substring,,,
ストレンジック皮下注１２ｍｇ／０．３ｍＬ,アスホターゼ　アルファ（遺伝子組換え）,１２ｍｇ０．３ｍＬ１瓶,3959418A1021,アレクシオンファーマ,先発品,,134301,○,告示第十第一号 [アスホターゼ　アルファ製剤] マッチ規則:substring,,,
ストレンジック皮下注１８ｍｇ／０．４５ｍＬ,アスホターゼ　アルファ（遺伝子組換え）,１８ｍｇ０．４５ｍＬ１瓶,3959418A2028,アレクシオンファーマ,先発品,,201451,○,告示第十第一号 [アスホターゼ　アルファ製剤] マッチ規則:substring,,,
ストレンジック皮下注２８ｍｇ／０．７ｍＬ,アスホターゼ　アルファ（遺伝子組換え）,２８ｍｇ０．７ｍＬ１瓶,3959418A3024,アレクシオンファーマ,先発品,,313369,○,告示第十第一号 [アスホターゼ　アルファ製剤] マッチ規則:substring,,,
ストレンジック皮下注４０ｍｇ／１ｍＬ,アスホターゼ　アルファ（遺伝子組換え）,４０ｍｇ１ｍＬ１瓶,3959418A4020,アレクシオンファーマ,先発品,,447669,○,告示第十第一号 [アスホターゼ　アルファ製剤] マッチ規則:substring,,,
ストレンジック皮下注８０ｍｇ／０．８ｍＬ,アスホターゼ　アルファ（遺伝子組換え）,８０ｍｇ０．８ｍＬ１瓶,3959418A5027,アレクシオンファーマ,先発品,,895340,○,告示第十第一号 [アスホターゼ　アルファ製剤] マッチ規則:substring,,,
カヌマ点滴静注液２０ｍｇ,セベリパーゼ　アルファ（遺伝子組換え）,２０ｍｇ１０ｍＬ１瓶,3959419A1026,アレクシオンファーマ,先発品,,1301517,○,告示第十第一号 [セベリパーゼ　アルファ製剤] マッチ規則:substring,,,
アガルシダーゼ　ベータＢＳ点滴静注５ｍｇ「ＪＣＲ」,アガルシダーゼベータ（遺伝子組換え）［アガルシダーゼベータ後続１］,５ｍｇ１瓶,3959420A1029,ＪＣＲファーマ,,,68796,○,告示第十第一号 [アガルシダーゼ　ベータ製剤] マッチ規則:substring,,,
アガルシダーゼ　ベータＢＳ点滴静注３５ｍｇ「ＪＣＲ」,アガルシダーゼベータ（遺伝子組換え）［アガルシダーゼベータ後続１］,３５ｍｇ１瓶,3959420A2025,ＪＣＲファーマ,,,389144,○,告示第十第一号 [アガルシダーゼ　ベータ製剤] マッチ規則:substring,,,
レブコビ筋注２．４ｍｇ,エラペグアデマーゼ（遺伝子組換え）,２．４ｍｇ１．５ｍＬ１瓶,3959421A1023,帝人ファーマ,先発品,,862022,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ブリニューラ脳室内注射液１５０ｍｇ,セルリポナーゼ　アルファ（遺伝子組換え）,１５０ｍｇ５ｍＬ１瓶,3959422A1028,ＢｉｏＭａｒｉｎ　Ｐｈａｒｍａｃｅｕｔｉｃａｌ　Ｊａｐａｎ,先発品,,1327645,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ヒュンタラーゼ脳室内注射液１５ｍｇ,イデュルスルファーゼ　ベータ（遺伝子組換え）,１５ｍｇ１ｍＬ１瓶,3959423A1022,クリニジェン,先発品,,1981462,○,告示第十第一号 [イデュルスルファーゼ製剤] マッチ規則:substring,,,
イズカーゴ点滴静注用１０ｍｇ,パビナフスプ　アルファ（遺伝子組換え）,１０ｍｇ１瓶,3959424D1023,ＪＣＲファーマ,先発品,,251030,○,告示第十第一号 [パビナフスプ　アルファ製剤] マッチ規則:substring,,,
ネクスビアザイム点滴静注用１００ｍｇ,アバルグルコシダーゼ　アルファ（遺伝子組換え）,１００ｍｇ１瓶,3959425D1028,サノフィ,先発品,,196940,○,告示第十第一号 [アバルグルコシダーゼ　アルファ製剤] マッチ規則:substring,,,
ゼンフォザイム点滴静注用２０ｍｇ,オリプダーゼ　アルファ（遺伝子組換え）,２０ｍｇ１瓶,3959426D1022,サノフィ,先発品,,570420,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
メプセヴィ点滴静注液１０ｍｇ,ベストロニダーゼ　アルファ（遺伝子組換え）,１０ｍｇ５ｍＬ１瓶,3959427A1020,Ｕｌｔｒａｇｅｎｙｘ　Ｊａｐａｎ,先発品,,259932,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ポムビリティ点滴静注用１０５ｍｇ,シパグルコシダーゼ　アルファ（遺伝子組換え）,１０５ｍｇ１瓶,3959428D1021,アミカス・セラピューティクス,先発品,,204251,○,告示第十第一号 [シパグルコシダーゼ　アルファ製剤] マッチ規則:substring,,,
ゾルトファイ配合注　フレックスタッチ,インスリン　デグルデク（遺伝子組換え）・リラグルチド（遺伝子組換え）,１キット,3969500G1029,ノボ　ノルディスク　ファーマ,先発品,,3404,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
ソリクア配合注ソロスター,インスリングラルギン（遺伝子組換え）・リキシセナチド,１キット,3969501G1023,サノフィ,先発品,,4195,○,告示第十第一号 [インスリン製剤] マッチ規則:substring,,,
コンドロイチン硫酸ナトリウム注射液２００ｍｇ「日医工」,コンドロイチン硫酸エステルナトリウム,１％２０ｍＬ１管,3991400A4133,日医工,,,63,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ＡＴＰ注１０ｍｇ「イセイ」,アデノシン三リン酸二ナトリウム水和物,１０ｍｇ１管,3992400A1085,コーアイセイ,,,63,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
アデホス－Ｌコーワ注１０ｍｇ,アデノシン三リン酸二ナトリウム水和物,１０ｍｇ１管,3992400A1123,興和,,,68,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ＡＴＰ注２０ｍｇ「イセイ」,アデノシン三リン酸二ナトリウム水和物,２０ｍｇ１管,3992400A2090,コーアイセイ,,,63,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
アデホス－Ｌコーワ注２０ｍｇ,アデノシン三リン酸二ナトリウム水和物,２０ｍｇ１管,3992400A2138,興和,,,69,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
アデホス－Ｌコーワ注４０ｍｇ,アデノシン三リン酸二ナトリウム水和物,４０ｍｇ１管,3992400A3045,興和,,,70,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
エルシトニン注４０単位,エルカトニン,４０エルカトニン単位１ｍＬ１管,3999401A1200,旭化成セラピューティクス,先発品,,344,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
エルカトニン注４０単位「ＴＢＰ」,エルカトニン,４０エルカトニン単位１ｍＬ１管,3999401A1226,東菱薬品工業,,,229,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
エルシトニン注１０単位,エルカトニン,１０エルカトニン単位１ｍＬ１管,3999401A2028,旭化成セラピューティクス,先発品,,95,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
エルカトニン筋注１０単位「ＴＢＰ」,エルカトニン,１０エルカトニン単位１ｍＬ１管,3999401A2290,東菱薬品工業,,,63,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
エルシトニン注２０Ｓ,エルカトニン,２０エルカトニン単位１ｍＬ１管,3999401A3024,旭化成セラピューティクス,先発品,,134,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
エルカトニン筋注２０単位「ＴＢＰ」,エルカトニン,２０エルカトニン単位１ｍＬ１管,3999401A3180,東菱薬品工業,,,89,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
エルシトニン注２０Ｓディスポ,エルカトニン,２０エルカトニン単位１ｍＬ１筒,3999401G2020,旭化成セラピューティクス,先発品,,659,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ガベキサートメシル酸塩１００ｍｇ注射用,ガベキサートメシル酸塩,１００ｍｇ１瓶,3999403D1019,,,,179,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
注射用エフオーワイ１００,ガベキサートメシル酸塩,１００ｍｇ１瓶,3999403D1221,丸石製薬,先発品,,179,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ガベキサートメシル酸塩注射用１００ｍｇ「タカタ」,ガベキサートメシル酸塩,１００ｍｇ１瓶,3999403D1310,高田製薬,,,179,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ガベキサートメシル酸塩５００ｍｇ注射用,ガベキサートメシル酸塩,５００ｍｇ１瓶,3999403D2015,,,,483,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
注射用エフオーワイ５００,ガベキサートメシル酸塩,５００ｍｇ１瓶,3999403D2023,丸石製薬,先発品,,486,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ガベキサートメシル酸塩注射用５００ｍｇ「タカタ」,ガベキサートメシル酸塩,５００ｍｇ１瓶,3999403D2120,高田製薬,,,486,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ミラクリッド注射液５万単位,ウリナスタチン,５０，０００単位１ｍＬ１管,3999405A2077,持田製薬,先発品,,790,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ミラクリッド注射液１０万単位,ウリナスタチン,１００，０００単位２ｍＬ１管,3999405A3073,持田製薬,先発品,,1393,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
サンディミュン点滴静注用２５０ｍｇ,シクロスポリン,５％５ｍＬ１管,3999406A1032,ノバルティス　ファーマ,先発品,,1973,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
注射用フサン１０,ナファモスタットメシル酸塩,１０ｍｇ１瓶,3999407D1181,日医工,先発品,,336,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ナファモスタット注射用１０ｍｇ「ＳＷ」,ナファモスタットメシル酸塩,１０ｍｇ１瓶,3999407D1270,沢井製薬,,,336,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
