販売名,成分名,規格,YJコード,メーカー,先発後発,局方,薬価,院外処方可否,判定根拠,廃止経過措置,廃止区分,備考
ホストイン静注７５０ｍｇ,ホスフェニトインナトリウム水和物,７５０ｍｇ１０ｍＬ１瓶,1132401A1020,ノーベルファーマ,先発品,,6419,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ノーベルバール静注用２５０ｍｇ,フェノバルビタールナトリウム,２５０ｍｇ１瓶,1139400F1023,ノーベルファーマ,先発品,,1802,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ミダフレッサ静注０．１％,ミダゾラム,１０ｍｇ１０ｍＬ１瓶,1139401A1020,アルフレッサファーマ,先発品,,3146,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
イーケプラ点滴静注５００ｍｇ,レベチラセタム,５００ｍｇ５ｍＬ１瓶,1139402A1025,ユーシービージャパン,先発品,,1180,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レベチラセタム点滴静注５００ｍｇ「アメル」,レベチラセタム,５００ｍｇ５ｍＬ１管,1139402A2021,共和薬品工業,,,572,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レベチラセタム点滴静注５００ｍｇ「日新」,レベチラセタム,５００ｍｇ５ｍＬ１管,1139402A2030,日新製薬（山形）,,,625,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レベチラセタム点滴静注５００ｍｇ「明治」,レベチラセタム,５００ｍｇ５ｍＬ１管,1139402A2048,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,,,639,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ロラピタ静注２ｍｇ,ロラゼパム,２ｍｇ１ｍＬ１瓶,1139403A1020,ファイザー,先発品,,1964,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ビムパット点滴静注２００ｍｇ,ラコサミド,２００ｍｇ２０ｍＬ１瓶,1139404A1024,ユーシービージャパン,先発品,,4298,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ビムパット点滴静注１００ｍｇ,ラコサミド,１００ｍｇ１０ｍＬ１瓶,1139404A2020,ユーシービージャパン,先発品,,2450,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
フィコンパ点滴静注用２ｍｇ,ペランパネル水和物,２ｍｇ１瓶,1139405D1025,エーザイ,先発品,,1962,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ブリィビアクト静注２５ｍｇ,ブリーバラセタム,２５ｍｇ２．５ｍＬ１瓶,1139406A1023,ユーシービージャパン,先発品,,2450,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
アセリオ静注液１０００ｍｇバッグ,アセトアミノフェン,１，０００ｍｇ１００ｍＬ１袋,1141400A2020,テルモ,先発品,,292,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
サリチル酸ナトリウム５％１０ｍＬ注射液,サリチル酸ナトリウム,５％１０ｍＬ１管,1143400A2017,,,,63,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スルピリン注射液,スルピリン水和物,１０％２ｍＬ１管,1144400A1018,,,局,94,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スルピリン注射液,スルピリン水和物,２５％１ｍＬ１管,1144400A2014,,,局,97,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スルピリン注射液,スルピリン水和物,２５％２ｍＬ１管,1144400A3010,,,局,94,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
スルピリン注射液,スルピリン水和物,５０％１ｍＬ１管,1144400A4017,,,局,94,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
トラマール注１００,トラマドール塩酸塩,１００ｍｇ１管,1149400A1049,日本新薬,先発品,,241,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ソセゴン注射液１５ｍｇ,ペンタゾシン,１５ｍｇ１管,1149401A1027,丸石製薬,先発品,,87,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ソセゴン注射液３０ｍｇ,ペンタゾシン,３０ｍｇ１管,1149401A2023,丸石製薬,先発品,,171,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ケトプロフェン筋注５０ｍｇ「日新」,ケトプロフェン,５０ｍｇ１管,1149402A1080,日新製薬（山形）,,,63,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
レペタン注０．２ｍｇ,ブプレノルフィン塩酸塩,０．２ｍｇ１管,1149403A1050,大塚製薬,先発品,,174,○,告示第十第一号 [ブプレノルフィン製剤] マッチ規則:substring,,,
ブプレノルフィン注０．２ｍｇ「日新」,ブプレノルフィン塩酸塩,０．２ｍｇ１管,1149403A1077,日新製薬（山形）,,,174,○,告示第十第一号 [ブプレノルフィン製剤] マッチ規則:substring,,,
レペタン注０．３ｍｇ,ブプレノルフィン塩酸塩,０．３ｍｇ１管,1149403A2057,大塚製薬,先発品,,205,○,告示第十第一号 [ブプレノルフィン製剤] マッチ規則:substring,,,
ブプレノルフィン注０．３ｍｇ「日新」,ブプレノルフィン塩酸塩,０．３ｍｇ１管,1149403A2073,日新製薬（山形）,,,205,○,告示第十第一号 [ブプレノルフィン製剤] マッチ規則:substring,,,
ロピオン静注５０ｍｇ,フルルビプロフェンアキセチル,５０ｍｇ５ｍＬ１管,1149407A1040,科研製薬,先発品,,278,○,告示第十第一号 [フルルビプロフェンアキセチル製剤] マッチ規則:substring,,,
カシワドール静注,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,２０ｍＬ１管,1149500A1110,ネオクリティケア製薬,,,78,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,R9.3.31まで,経過措置,
コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム１０ｍＬ注射液,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,1149501A1017,,,,63,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
サリチル酸ナトリウム・ジブカイン配合２ｍＬ注射液,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,1149502A1011,,,,63,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ネオビタカイン注２ｍＬ,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,1149502A1089,ビタカイン製薬,,,186,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ネオビタカイン注シリンジ２ｍＬ,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１筒,1149502G1022,ビタカイン製薬,,,385,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
サリチル酸ナトリウム・ジブカイン配合５ｍＬ注射液,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,1149503A1016,,,,63,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ネオビタカイン注５ｍＬ,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,1149503A1083,ビタカイン製薬,,,226,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ネオビタカイン注シリンジ５ｍＬ,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１筒,1149503G1027,ビタカイン製薬,,,351,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ノイロトロピン注射液１．２単位,ワクシニアウイルス接種家兎炎症皮膚抽出液,１ｍＬ１管,1149601A1031,日本臓器製薬,,,84,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ノイロトロピン注射液３．６単位,ワクシニアウイルス接種家兎炎症皮膚抽出液,３ｍＬ１管,1149601A2062,日本臓器製薬,,,158,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
アキネトン注射液５ｍｇ,乳酸ビペリデン,０．５％１ｍＬ１管,1162400A1059,住友ファーマ,,,63,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
乳酸ビペリデン注５ｍｇ「ヨシトミ」,乳酸ビペリデン,０．５％１ｍＬ１管,1162400A1067,田辺ファーマ,,,63,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ドパストン静注２５ｍｇ,レボドパ,０．２５％１０ｍＬ１管,1164400A1045,大原薬品工業,先発品,,192,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ドパストン静注５０ｍｇ,レボドパ,０．２５％２０ｍＬ１管,1164400A2041,大原薬品工業,先発品,,339,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
アポカイン皮下注３０ｍｇ,アポモルヒネ塩酸塩水和物,３０ｍｇ３ｍＬ１筒,1169400G1028,協和キリン,先発品,,7910,○,告示第十第一号 [アポモルヒネ塩酸塩製剤] マッチ規則:substring,,,
ヴィアレブ配合持続皮下注,ホスレボドパ・ホスカルビドパ水和物,１０ｍＬ１瓶,1169500A1023,アッヴィ,先発品,,13277,○,告示第十第一号 [ホスレボドパ・ホスカルビドパ水和物配合剤] マッチ規則:substring,,,
クロルプロマジン塩酸塩注射液,クロルプロマジン塩酸塩,０．５％２ｍＬ１管,1171400A1015,,,局,104,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
クロルプロマジン塩酸塩注射液,クロルプロマジン塩酸塩,０．５％５ｍＬ１管,1171400A2011,,,局,104,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
クロルプロマジン塩酸塩注射液,クロルプロマジン塩酸塩,１％５ｍＬ１管,1171400A3018,,,局,104,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ピーゼットシー筋注２ｍｇ,塩酸ペルフェナジン,０．２％１ｍＬ１管,1172402A1046,田辺ファーマ,,,63,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ノバミン筋注５ｍｇ,プロクロルペラジン,０．５％１ｍＬ１管,1172404A1037,共和薬品工業,,,63,○,告示第十第一号 [プロクロルペラジン製剤] マッチ規則:substring,R9.3.31まで,経過措置,
フルデカシン筋注２５ｍｇ,フルフェナジンデカン酸エステル,２５ｍｇ１ｍＬ１瓶,1172405A1031,田辺ファーマ,先発品,,1383,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
アナフラニール点滴静注液２５ｍｇ,クロミプラミン塩酸塩,２５ｍｇ１管,1174401A1038,アルフレッサファーマ,先発品,,225,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
アタラックス－Ｐ注射液（２５ｍｇ／ｍｌ）,ヒドロキシジン塩酸塩,２．５％１ｍＬ１管,1179401A1026,ファイザー,,,63,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
アタラックス－Ｐ注射液（５０ｍｇ／ｍｌ）,ヒドロキシジン塩酸塩,５％１ｍＬ１管,1179401A2022,ファイザー,,,63,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ドグマチール筋注１００ｍｇ,スルピリド,１００ｍｇ１管,1179403A1050,日医工,先発品,,129,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
セレネース注５ｍｇ,ハロペリドール,０．５％１ｍＬ１管,1179404A1070,住友ファーマ,,局,130,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ハロペリドール注５ｍｇ「ヨシトミ」,ハロペリドール,０．５％１ｍＬ１管,1179404A1097,田辺ファーマ,,局,104,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ハロマンス注５０ｍｇ,ハロペリドールデカン酸エステル,５０ｍｇ１ｍＬ１管,1179406A1037,クリニジェン,先発品,,1407,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ハロマンス注１００ｍｇ,ハロペリドールデカン酸エステル,１００ｍｇ１ｍＬ１管,1179406A2033,クリニジェン,先発品,,2203,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
リスパダール　コンスタ筋注用２５ｍｇ,リスペリドン,２５ｍｇ１キット（懸濁用液付）,1179407G1026,ヤンセンファーマ,先発品,,12801,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
